sample_file,type,total_reads,lane,is_paired_read,study_title,sample_common_name,sample_public_name,manual_qc,sample_donor_id,id_run,sample_id,study_id,library_id,sample_accession_number,study_accession_number
24768_2#001, cram, 1043422, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3288_A01, 1, TEI_17239416, 24768, 3458069, 4924, 20584188, ERS2041289, ERP105660
24768_2#002, cram, 1206374, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3289_A01, 1, TEI_17239417, 24768, 3458070, 4924, 20584189, ERS2052436, ERP105660
24768_2#003, cram, 1881340, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3288_A02, 1, TEI_17239418, 24768, 3458071, 4924, 20584190, ERS2052468, ERP105660
24768_2#004, cram, 2282726, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3289_A02, 1, TEI_17239419, 24768, 3458072, 4924, 20584191, ERS2052493, ERP105660
24768_2#005, cram, 261336, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3288_A03, 1, TEI_17239420, 24768, 3458073, 4924, 20584192, ERS2052522, ERP105660
24768_2#006, cram, 3272122, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3289_A03, 1, TEI_17239421, 24768, 3458074, 4924, 20584193, ERS2052551, ERP105660
24768_2#007, cram, 2885578, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3288_A04, 1, TEI_17239422, 24768, 3458075, 4924, 20584194, ERS2052585, ERP105660
24768_2#008, cram, 2409800, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3289_A04, 1, TEI_17239423, 24768, 3458076, 4924, 20584195, ERS2052619, ERP105660
24768_2#009, cram, 3626134, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3288_A05, 1, TEI_17239424, 24768, 3458077, 4924, 20584196, ERS2052652, ERP105660
24768_2#010, cram, 2876540, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3289_A05, 1, TEI_17239425, 24768, 3458078, 4924, 20584197, ERS2052687, ERP105660
24768_2#011, cram, 980612, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3288_A06, 1, TEI_17239426, 24768, 3458079, 4924, 20584198, ERS2052719, ERP105660
24768_2#012, cram, 4418738, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3289_A06, 1, TEI_17239427, 24768, 3458080, 4924, 20584199, ERS2052757, ERP105660
24768_2#013, cram, 3388948, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3288_A07, 1, TEI_17239428, 24768, 3458081, 4924, 20584200, ERS2052779, ERP105660
24768_2#014, cram, 3455220, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3289_A07, 1, TEI_17239429, 24768, 3458082, 4924, 20584201, ERS2052804, ERP105660
24768_2#015, cram, 1680502, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3288_A08, 1, TEI_17239430, 24768, 3458083, 4924, 20584202, ERS2054687, ERP105660
24768_2#016, cram, 4371964, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3289_A08, 1, TEI_17239431, 24768, 3458084, 4924, 20584203, ERS2054688, ERP105660
24768_2#017, cram, 2191338, 2, 1, Transgenerational epigenetic inheritance: embryos, Mus Musculus, SCGC--3288_A09, 1, TEI_17239432, 24768, 3458085, 4924, 20584204, ERS2054689, ERP105660
