sanger sample ID	sequence scape sample ID	ENA sample accession number	treatment 	well	plate ID	supplier sample ID 	Relevant 
TEI_17239417	3458070		FST	A1	SCGC00003289	SCGC--3289_A01	no
TEI_17239419	3458072		FST	A2	SCGC00003289	SCGC--3289_A02	no
TEI_17239421	3458074		FST	A3	SCGC00003289	SCGC--3289_A03	no
TEI_17239423	3458076		FST	A4	SCGC00003289	SCGC--3289_A04	no
TEI_17239425	3458078		FST	A5	SCGC00003289	SCGC--3289_A05	no
TEI_17239427	3458080		FST	A6	SCGC00003289	SCGC--3289_A06	no
TEI_17239429	3458082		FST	A7	SCGC00003289	SCGC--3289_A07	no
TEI_17239431	3458084		FST	A8	SCGC00003289	SCGC--3289_A08	no
TEI_17239433	3458086		FST	A9	SCGC00003289	SCGC--3289_A09	no
TEI_17239435	3458088		FST	A10	SCGC00003289	SCGC--3289_A10	no
TEI_17239437	3458090		FST	A11	SCGC00003289	SCGC--3289_A11	no
TEI_17239439	3458092		FST	A12	SCGC00003289	SCGC--3289_A12	no
TEI_17239441	3458094		FST	B1	SCGC00003289	SCGC--3289_B01	no
TEI_17239443	3458096		FST	B2	SCGC00003289	SCGC--3289_B02	no
TEI_17239445	3458098		FST	B3	SCGC00003289	SCGC--3289_B03	no
TEI_17239447	3458100		FST	B4	SCGC00003289	SCGC--3289_B04	no
TEI_17239449	3458102		FST	B5	SCGC00003289	SCGC--3289_B05	no
TEI_17239451	3458104		FST	B6	SCGC00003289	SCGC--3289_B06	no
TEI_17239453	3458106		VEH	B7	SCGC00003289	SCGC--3289_B07	yes
TEI_17239455	3458108		VEH	B8	SCGC00003289	SCGC--3289_B08	yes
TEI_17239457	3458110		VEH	B9	SCGC00003289	SCGC--3289_B09	yes
TEI_17239459	3458112		VEH	B10	SCGC00003289	SCGC--3289_B10	yes
TEI_17239461	3458114		VEH	B11	SCGC00003289	SCGC--3289_B11	yes
TEI_17239463	3458116		VEH	B12	SCGC00003289	SCGC--3289_B12	yes
TEI_17239465	3458118		VEH	C1	SCGC00003289	SCGC--3289_C01	yes
TEI_17239467	3458120		VEH	C2	SCGC00003289	SCGC--3289_C02	yes
TEI_17239469	3458122		VEH	C3	SCGC00003289	SCGC--3289_C03	yes
TEI_17239471	3458124		VEH	C4	SCGC00003289	SCGC--3289_C04	yes
TEI_17239473	3458126		VEH	C5	SCGC00003289	SCGC--3289_C05	yes
TEI_17239475	3458128		VEH	C6	SCGC00003289	SCGC--3289_C06	yes
TEI_17239477	3458130		VEH	C7	SCGC00003289	SCGC--3289_C07	yes
TEI_17239479	3458132		VEH	C8	SCGC00003289	SCGC--3289_C08	yes
TEI_17239481	3458134		VEH	C9	SCGC00003289	SCGC--3289_C09	yes
TEI_17239483	3458136		VEH	C10	SCGC00003289	SCGC--3289_C10	yes
TEI_17239485	3458138		VEH	C11	SCGC00003289	SCGC--3289_C11	yes
TEI_17239487	3458140		VEH	C12	SCGC00003289	SCGC--3289_C12	yes
TEI_17239489	3458142		VEH	D1	SCGC00003289	SCGC--3289_D01	yes
TEI_17239491	3458144		NA	D2	SCGC00003289	SCGC--3289_D02	yes
TEI_17239493	3458146		VEH	D3	SCGC00003289	SCGC--3289_D03	yes
TEI_17239495	3458148		DEXA	D4	SCGC00003289	SCGC--3289_D04	yes
TEI_17239497	3458150		DEXA	D5	SCGC00003289	SCGC--3289_D05	yes
TEI_17239499	3458152		DEXA	D6	SCGC00003289	SCGC--3289_D06	yes
TEI_17239501	3458154		DEXA	D7	SCGC00003289	SCGC--3289_D07	yes
TEI_17239503	3458156		DEXA	D8	SCGC00003289	SCGC--3289_D08	yes
TEI_17239505	3458158		DEXA	D9	SCGC00003289	SCGC--3289_D09	yes
TEI_17239507	3458160		DEXA	D10	SCGC00003289	SCGC--3289_D10	yes
TEI_17239509	3458162		DEXA	D11	SCGC00003289	SCGC--3289_D11	yes
TEI_17239511	3458164		DEXA	D12	SCGC00003289	SCGC--3289_D12	yes
TEI_17239513	3458166		DEXA	E1	SCGC00003289	SCGC--3289_E01	yes
TEI_17239515	3458168		DEXA	E2	SCGC00003289	SCGC--3289_E02	yes
TEI_17239517	3458170		DEXA	E3	SCGC00003289	SCGC--3289_E03	yes
TEI_17239519	3458172		DEXA	E4	SCGC00003289	SCGC--3289_E04	yes
TEI_17239521	3458174		DEXA	E5	SCGC00003289	SCGC--3289_E05	yes
TEI_17239523	3458176		Ibet	E6	SCGC00003289	SCGC--3289_E06	no
TEI_17239525	3458178		Ibet	E7	SCGC00003289	SCGC--3289_E07	no
TEI_17239527	3458180		Ibet	E8	SCGC00003289	SCGC--3289_E08	no
TEI_17239529	3458182		Ibet	E9	SCGC00003289	SCGC--3289_E09	no
TEI_17239531	3458184		Ibet	E10	SCGC00003289	SCGC--3289_E10	no
TEI_17239533	3458186		Ibet	E11	SCGC00003289	SCGC--3289_E11	no
TEI_17239535	3458188		Ibet	E12	SCGC00003289	SCGC--3289_E12	no
TEI_17239537	3458190		Ibet	F1	SCGC00003289	SCGC--3289_F01	no
TEI_17239539	3458192		Ibet	F2	SCGC00003289	SCGC--3289_F02	no
TEI_17239541	3458194		Ibet	F3	SCGC00003289	SCGC--3289_F03	no
TEI_17239543	3458196		Ibet	F4	SCGC00003289	SCGC--3289_F04	no
TEI_17239545	3458198		Ibet	F5	SCGC00003289	SCGC--3289_F05	no
TEI_17239547	3458200		Ibet	F6	SCGC00003289	SCGC--3289_F06	no
TEI_17239549	3458202		Ibet	F7	SCGC00003289	SCGC--3289_F07	no
TEI_17239551	3458204		Ibet	F8	SCGC00003289	SCGC--3289_F08	no
TEI_17239553	3458206		Ibet	F9	SCGC00003289	SCGC--3289_F09	no
TEI_17239555	3458208		Ibet	F10	SCGC00003289	SCGC--3289_F10	no
TEI_17239557	3458210		NA	F11	SCGC00003289	SCGC--3289_F11	no
TEI_17239559	3458212		NA	F12	SCGC00003289	SCGC--3289_F12	no
TEI_17239561	3458214		NA	G1	SCGC00003289	SCGC--3289_G01	no
TEI_17239563	3458216		NA	G2	SCGC00003289	SCGC--3289_G02	no
TEI_17239565	3458218		NA	G3	SCGC00003289	SCGC--3289_G03	no
TEI_17239567	3458220		NA	G4	SCGC00003289	SCGC--3289_G04	no
TEI_17239569	3458222		NA	G5	SCGC00003289	SCGC--3289_G05	no
TEI_17239571	3458224		NA	G6	SCGC00003289	SCGC--3289_G06	no
TEI_17239573	3458226		NA	G7	SCGC00003289	SCGC--3289_G07	no
TEI_17239575	3458228		NA	G8	SCGC00003289	SCGC--3289_G08	no
TEI_17239577	3458230		NA	G9	SCGC00003289	SCGC--3289_G09	no
TEI_17239579	3458232		NA	G10	SCGC00003289	SCGC--3289_G10	no
TEI_17239581	3458234		NA	G11	SCGC00003289	SCGC--3289_G11	no
TEI_17239583	3458236		NA	G12	SCGC00003289	SCGC--3289_G12	no
TEI_17239585	3458238		NA	H1	SCGC00003289	SCGC--3289_H01	no
TEI_17239587	3458240		NA	H2	SCGC00003289	SCGC--3289_H02	no
TEI_17239589	3458242		NA	H3	SCGC00003289	SCGC--3289_H03	no
TEI_17239591	3458244		NA	H4	SCGC00003289	SCGC--3289_H04	no
TEI_17239593	3458246		NA	H5	SCGC00003289	SCGC--3289_H05	no
TEI_17239595	3458248		NA	H6	SCGC00003289	SCGC--3289_H06	no
TEI_17239597	3458250		NA	H7	SCGC00003289	SCGC--3289_H07	no
TEI_17239599	3458252		NA	H8	SCGC00003289	SCGC--3289_H08	no
TEI_17239601	3458254		NA	H9	SCGC00003289	SCGC--3289_H09	no
TEI_17239603	3458256		NA	H10	SCGC00003289	SCGC--3289_H10	no
TEI_17239605	3458258		NA	H11	SCGC00003289	SCGC--3289_H11	no
							
TEI_17239416	3458069	ERS2041289	FST	A1	SCGC00063288	SCGC--3288_A01	no
TEI_17239418	3458071		FST	A2	SCGC00063288	SCGC--3288_A02	no
TEI_17239420	3458073		FST	A3	SCGC00063288	SCGC--3288_A03	no
TEI_17239422	3458075		FST	A4	SCGC00063288	SCGC--3288_A04	no
TEI_17239424	3458077		FST	A5	SCGC00063288	SCGC--3288_A05	no
TEI_17239426	3458079		FST	A6	SCGC00063288	SCGC--3288_A06	no
TEI_17239428	3458081		FST	A7	SCGC00063288	SCGC--3288_A07	no
TEI_17239430	3458083		FST	A8	SCGC00063288	SCGC--3288_A08	no
TEI_17239432	3458085		FST	A9	SCGC00063288	SCGC--3288_A09	no
TEI_17239434	3458087		FST	A10	SCGC00063288	SCGC--3288_A10	no
TEI_17239436	3458089		FST	A11	SCGC00063288	SCGC--3288_A11	no
TEI_17239438	3458091		FST	A12	SCGC00063288	SCGC--3288_A12	no
TEI_17239440	3458093		FST	B1	SCGC00063288	SCGC--3288_B01	no
TEI_17239442	3458095		FST	B2	SCGC00063288	SCGC--3288_B02	no
TEI_17239444	3458097		FST	B3	SCGC00063288	SCGC--3288_B03	no
TEI_17239446	3458099		FST	B4	SCGC00063288	SCGC--3288_B04	no
TEI_17239448	3458101		FST	B5	SCGC00063288	SCGC--3288_B05	no
TEI_17239450	3458103		FST	B6	SCGC00063288	SCGC--3288_B06	no
TEI_17239452	3458105		FST	B7	SCGC00063288	SCGC--3288_B07	no
TEI_17239454	3458107		IBET	B8	SCGC00063288	SCGC--3288_B08	no
TEI_17239456	3458109		IBET	B9	SCGC00063288	SCGC--3288_B09	no
TEI_17239458	3458111		IBET	B10	SCGC00063288	SCGC--3288_B10	no
TEI_17239460	3458113		IBET	B11	SCGC00063288	SCGC--3288_B11	no
TEI_17239462	3458115		IBET	B12	SCGC00063288	SCGC--3288_B12	no
TEI_17239464	3458117		IBET	C1	SCGC00063288	SCGC--3288_C01	no
TEI_17239466	3458119		IBET	C2	SCGC00063288	SCGC--3288_C02	no
TEI_17239468	3458121		IBET	C3	SCGC00063288	SCGC--3288_C03	no
TEI_17239470	3458123		IBET	C4	SCGC00063288	SCGC--3288_C04	no
TEI_17239472	3458125		IBET	C5	SCGC00063288	SCGC--3288_C05	no
TEI_17239474	3458127		IBET	C6	SCGC00063288	SCGC--3288_C06	no
TEI_17239476	3458129		IBET	C7	SCGC00063288	SCGC--3288_C07	no
TEI_17239478	3458131		IBET	C8	SCGC00063288	SCGC--3288_C08	no
TEI_17239480	3458133		IBET	C9	SCGC00063288	SCGC--3288_C09	no
TEI_17239482	3458135		IBET	C10	SCGC00063288	SCGC--3288_C10	no
TEI_17239484	3458137		IBET	C11	SCGC00063288	SCGC--3288_C11	no
TEI_17239486	3458139		IBET	C12	SCGC00063288	SCGC--3288_C12	no
TEI_17239488	3458141		IBET	D1	SCGC00063288	SCGC--3288_D01	no
TEI_17239490	3458143		VEH	D2	SCGC00063288	SCGC--3288_D02	yes
TEI_17239492	3458145		VEH	D3	SCGC00063288	SCGC--3288_D03	yes
TEI_17239494	3458147		VEH	D4	SCGC00063288	SCGC--3288_D04	yes
TEI_17239496	3458149		VEH	D5	SCGC00063288	SCGC--3288_D05	yes
TEI_17239498	3458151		VEH	D6	SCGC00063288	SCGC--3288_D06	yes
TEI_17239500	3458153		VEH	D7	SCGC00063288	SCGC--3288_D07	yes
TEI_17239502	3458155		VEH	D8	SCGC00063288	SCGC--3288_D08	yes
TEI_17239504	3458157		VEH	D9	SCGC00063288	SCGC--3288_D09	yes
TEI_17239506	3458159		VEH	D10	SCGC00063288	SCGC--3288_D10	yes
TEI_17239508	3458161		VEH	D11	SCGC00063288	SCGC--3288_D11	yes
TEI_17239510	3458163		VEH	D12	SCGC00063288	SCGC--3288_D12	yes
TEI_17239512	3458165		VEH	E1	SCGC00063288	SCGC--3288_E01	yes
TEI_17239514	3458167		VEH	E2	SCGC00063288	SCGC--3288_E02	yes
TEI_17239516	3458169		VEH	E3	SCGC00063288	SCGC--3288_E03	yes
TEI_17239518	3458171		DEXA	E4	SCGC00063288	SCGC--3288_E04	yes
TEI_17239520	3458173		DEXA	E5	SCGC00063288	SCGC--3288_E05	yes
TEI_17239522	3458175		DEXA	E6	SCGC00063288	SCGC--3288_E06	yes
TEI_17239524	3458177		DEXA	E7	SCGC00063288	SCGC--3288_E07	yes
TEI_17239526	3458179		DEXA	E8	SCGC00063288	SCGC--3288_E08	yes
TEI_17239528	3458181		DEXA	E9	SCGC00063288	SCGC--3288_E09	yes
TEI_17239530	3458183		DEXA	E10	SCGC00063288	SCGC--3288_E10	yes
TEI_17239532	3458185		DEXA	E11	SCGC00063288	SCGC--3288_E11	yes
TEI_17239534	3458187		DEXA	E12	SCGC00063288	SCGC--3288_E12	yes
TEI_17239536	3458189		DEXA	F1	SCGC00063288	SCGC--3288_F01	yes
TEI_17239538	3458191		DEXA	F2	SCGC00063288	SCGC--3288_F02	yes
TEI_17239540	3458193		DEXA	F3	SCGC00063288	SCGC--3288_F03	yes
TEI_17239542	3458195		DEXA	F4	SCGC00063288	SCGC--3288_F04	yes
TEI_17239544	3458197		DEXA	F5	SCGC00063288	SCGC--3288_F05	yes
TEI_17239546	3458199		DEXA	F6	SCGC00063288	SCGC--3288_F06	yes
TEI_17239548	3458201		DEXA	F7	SCGC00063288	SCGC--3288_F07	yes
TEI_17239550	3458203		DEXA	F8	SCGC00063288	SCGC--3288_F08	yes
TEI_17239552	3458205		DEXA	F9	SCGC00063288	SCGC--3288_F09	yes
TEI_17239554	3458207		DEXA	F10	SCGC00063288	SCGC--3288_F10	yes
TEI_17239556	3458209		DEXA	F11	SCGC00063288	SCGC--3288_F11	yes
TEI_17239558	3458211		DEXA	F12	SCGC00063288	SCGC--3288_F12	yes
TEI_17239560	3458213		DEXA	G1	SCGC00063288	SCGC--3288_G01	yes
TEI_17239562	3458215		DEXA	G2	SCGC00063288	SCGC--3288_G02	yes
TEI_17239564	3458217		NA	G3	SCGC00063288	SCGC--3288_G03	no
TEI_17239566	3458219		NA	G4	SCGC00063288	SCGC--3288_G04	no
TEI_17239568	3458221		NA	G5	SCGC00063288	SCGC--3288_G05	no
TEI_17239570	3458223		NA	G6	SCGC00063288	SCGC--3288_G06	no
TEI_17239572	3458225		NA	G7	SCGC00063288	SCGC--3288_G07	no
TEI_17239574	3458227		NA	G8	SCGC00063288	SCGC--3288_G08	no
TEI_17239576	3458229		NA	G9	SCGC00063288	SCGC--3288_G09	no
TEI_17239578	3458231		NA	G10	SCGC00063288	SCGC--3288_G10	no
TEI_17239580	3458233		NA	G11	SCGC00063288	SCGC--3288_G11	no
TEI_17239582	3458235		NA	G12	SCGC00063288	SCGC--3288_G12	no
TEI_17239584	3458237		NA	H01	SCGC00063288	SCGC--3288_H01	no
TEI_17239586	3458239		NA	H02	SCGC00063288	SCGC--3288_H02	no
TEI_17239588	3458241		NA	H03	SCGC00063288	SCGC--3288_H03	no
TEI_17239590	3458243		NA	H04	SCGC00063288	SCGC--3288_H04	no
TEI_17239592	3458245		NA	H05	SCGC00063288	SCGC--3288_H05	no
TEI_17239594	3458247		NA	H06	SCGC00063288	SCGC--3288_H06	no
TEI_17239596	3458249		NA	H07	SCGC00063288	SCGC--3288_H07	no
