ensembl_gene_id_version	ensembl_gene_id	wikigene_description	mgi_symbol	gene_short_name	sc3_gene_filter	sc3_2_markers_clusts	sc3_2_markers_padj	sc3_2_markers_auroc	sc3_3_markers_clusts	sc3_3_markers_padj	sc3_3_markers_auroc	sc3_2_de_padj	sc3_3_de_padj
ENSMUSG00000005202.2	ENSMUSG00000005202	sex hormone binding globulin	Shbg	Shbg	TRUE	1	0.00809419097889045	0.880739795918367	1	0.00834550805280407	0.88058748403576	0.00778835232332075	0.0394947380559198
ENSMUSG00000012126.16	ENSMUSG00000012126	UBX domain protein 11	Ubxn11	Ubxn11	TRUE	1	0.004151298469156	0.896045918367347	1	0.00427882275298453	0.895913154533844	0.00399275668006169	0.0209013813246915
ENSMUSG00000022415.12	ENSMUSG00000022415	synaptogyrin 1	Syngr1	Syngr1	TRUE	1	0.0112693427893977	0.881377551020408	1	0.00762525602718105	0.887611749680715	0.0108559643152325	0.0352885565680866
ENSMUSG00000028524.21	ENSMUSG00000028524	SH3-domain GRB2-like (endophilin) interacting protein 1	Sgip1	Sgip1	TRUE	2	0.01807095488904	0.868622448979592	3	0.00984493925113144	0.878846153846154	0.0174103716442747	0.0512061761227296
ENSMUSG00000029404.15	ENSMUSG00000029404	ADP-ribosylation factor-like 6 interacting protein 4	Arl6ip4	Arl6ip4	TRUE	1	0.00904769117814261	0.880102040816327	1	0.0448453726908244	0.855683269476373	0.00870835672764319	0.214879463118305
ENSMUSG00000031832.15	ENSMUSG00000031832	TATA-box binding protein associated factor, RNA polymerase I, C	Taf1c	Taf1c	TRUE	1	0.0353032324106216	0.854591836734694	1	0.0187507310848134	0.864623243933589	0.0340358956584729	0.102084071693361
ENSMUSG00000033938.5	ENSMUSG00000033938	NADH:ubiquinone oxidoreductase subunit B7	Ndufb7	Ndufb7	TRUE	1	0.0448816477890324	0.85969387755102	2	1	0.8	0.0433313286517326	0.16589911187299
ENSMUSG00000037921.15	ENSMUSG00000037921	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60	Ddx60	Ddx60	TRUE	1	0.0013417774551502	0.913265306122449	1	0.00791386641482305	0.887611749680715	0.00128850426978288	0.0339359395829665
ENSMUSG00000044148.6	ENSMUSG00000044148	RIKEN cDNA 1810030O07 gene	1810030O07Rik	1810030O07Rik	TRUE	1	0.00716689980513323	0.880102040816326	1	0.00178199646237528	0.900383141762452	0.0068928608192903	0.0106771392771968
ENSMUSG00000049950.6	ENSMUSG00000049950	ribonuclease P/MRP 38 subunit	Rpp38	Rpp38	TRUE	1	0.0106542688834582	0.88265306122449	1	0.00213968184419096	0.906768837803321	0.0102630225325116	0.0124981687713823
